City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,nemuro,43.3236,145.575,17.96,96,100,3.21,JP,1725294916
312,puerto lempira,15.2667,-83.7667,31.08,66,40,0.0,HN,1725294704
313,kaa-khem,51.6833,94.7333,12.15,60,100,4.42,RU,1725294919
314,geidam,12.897,11.9304,23.1,92,100,4.98,NG,1725294920
315,happy valley-goose bay,53.3168,-60.3315,17.17,55,75,4.63,CA,1725294921
316,kailua-kona,19.6406,-155.9956,24.77,89,17,2.1,US,1725294922
317,cavelossim,15.1726,73.9419,26.99,86,93,2.1,IN,1725294923
318,fort bragg,35.139,-79.006,27.91,79,75,3.6,US,1725294924
319,aquidauana,-20.4711,-55.7872,39.12,15,15,1.17,BR,1725294925
320,miles city,46.4083,-105.8406,21.54,52,0,2.57,US,1725294926
321,khamis mushait,18.3064,42.7292,23.34,56,40,6.17,SA,1725294927
322,jiangyou,31.7667,104.7167,24.66,87,92,1.77,CN,1725294928
323,lan sak,15.4529,99.5761,26.43,85,100,1.19,TH,1725294930
324,lu-uk,5.9684,121.3122,26.6,89,98,2.34,PH,1725294931
325,tambopata,-12.7333,-69.1833,28.94,48,0,2.57,PE,1725294932
326,puerto ayacucho,5.6639,-67.6236,25.9,83,98,1.76,VE,1725294933
327,borzya,50.3833,116.5167,13.8,66,0,3.42,RU,1725294934
328,brookings,44.3114,-96.7984,20.25,61,0,7.2,US,1725294935
329,vila velha,-20.3297,-40.2925,34.97,41,0,5.14,BR,1725294934
330,cabo san lucas,22.8909,-109.9124,33.06,53,0,1.79,MX,1725294875
331,weyburn,49.6668,-103.8511,20.12,52,6,5.66,CA,1725294938
332,beloha,-25.1667,45.05,18.48,81,83,5.0,MG,1725294939
333,qarazhal,48.0078,70.7903,12.25,41,23,0.24,KZ,1725294940
334,sangkhla buri,15.1555,98.4536,23.04,100,100,0.71,TH,1725294942
335,barra,-11.0894,-43.1417,29.8,31,53,3.52,BR,1725294943
336,mount pearl,47.5166,-52.7813,24.19,86,75,4.63,CA,1725294944
337,weno,7.4515,151.8468,27.97,78,100,2.06,FM,1725294945
338,quelimane,-17.8786,36.8883,23.97,73,20,3.6,MZ,1725294946
339,chipinge,-20.1883,32.6236,14.3,45,0,1.91,ZW,1725294673
340,rio grande,-32.035,-52.0986,16.61,74,76,1.52,BR,1725294949
341,iskateley,67.6803,53.1512,7.36,81,100,6.66,RU,1725294950
342,tarariras,-34.2833,-57.6167,14.51,58,16,6.93,UY,1725294952
343,figuig (centre),32.1089,-1.2286,30.62,28,52,7.65,MA,1725294953
344,muynoq,43.7683,59.0214,19.56,44,0,8.44,UZ,1725294954
345,jiexiu,37.0244,111.9125,20.4,80,75,1.2,CN,1725294955
346,college,64.8569,-147.8028,7.32,88,75,1.54,US,1725294956
347,bhamo,24.2667,97.2333,24.88,88,84,0.3,MM,1725294957
348,qarauyl,48.9451,79.255,8.92,60,37,5.75,KZ,1725294958
349,kristiansund,63.1115,7.732,18.36,55,0,2.06,NO,1725294959
350,greenville,35.6127,-77.3663,27.01,97,100,4.12,US,1725294960
351,nizhnevartovsk,60.9344,76.5531,10.01,93,40,2.0,RU,1725294961
352,east london,-33.0153,27.9116,18.52,72,0,7.72,ZA,1725294943
353,rongelap,11.1635,166.8941,27.86,78,21,2.37,MH,1725294964
354,noosa heads,-26.3833,153.15,19.58,45,0,4.12,AU,1725294965
355,belo sur tsiribihina,-19.7,44.55,23.9,70,29,4.52,MG,1725294966
356,mariakani,-3.8633,39.4736,23.05,86,34,4.08,KE,1725294967
357,mata-utu,-13.2816,-176.1745,26.16,75,60,9.52,WF,1725294838
358,koprivnica,46.1628,16.8275,29.65,24,21,2.05,HR,1725294969
359,lewistown,40.5992,-77.5714,20.67,52,20,5.14,US,1725294970
360,taungdwingyi,20.0167,95.55,26.0,88,99,2.45,MM,1725294972
361,khovd,48.0056,91.6419,13.54,32,34,4.1,MN,1725294973
362,al kharijah,25.4514,30.5464,37.97,19,2,4.92,EG,1725294974
